part,pre_post,Age,CB,AGEgrp,face_T5,face_O1,face_T6,face_O2,obj_T5,obj_O1,obj_T6,obj_O2
100,PRE,9,1,0,-0.063973632,0.094894223,0.095991219,0.036650047,-0.168468126,-0.009702452,0.116440621,-0.082563024
101,PRE,9,1,0,0.11668158,0.011366122,0.047677874,0.365330413,0.632575631,0.09317476,0.187086895,0.154275704
102,PRE,9,1,0,0.088963,0.057619047,-0.040756543,0.112609372,-0.063958155,-0.165908054,-0.080178117,-0.002225223
103,PRE,9,1,0,-0.141865023,0.172575698,-0.155197144,0.035923239,-0.074841263,0.22014945,0.182500586,0.3948953
104,PRE,12,1,0,-0.07553082,0.402889572,0.412979022,0.474245221,0.185001329,-0.11606925,-0.027205874,-0.285659742
105,PRE,9,1,0,0.033710912,0.318342373,-0.018590246,0.12120656,0.051234398,0.197665386,-0.267680854,-0.132294596
106,PRE,6,1,0,-0.044709053,0.053619779,-0.182615441,0.146937292,-0.072805461,0.305727147,-0.044598091,0.485128746
107,PRE,12,1,0,-0.100594131,0.06794793,0.131195594,0.253774479,0.032744534,-0.201302499,-0.070385145,-0.262436822
108,PRE,12,1,0,-0.027466588,0.538883269,0.492226527,0.57622543,-0.068170354,0.002789527,0.315368608,0.231625639
109,PRE,9,1,0,0.139379226,0.088794388,0.028427691,0.168207117,0.233818971,0.534604773,0.078370257,0.019293994
110,PRE,9,1,0,-0.063991795,0.423150115,0.186568955,1.054175079,0.19679609,0.504691959,-0.057036968,0.865820647
112,PRE,12,1,0,0.407335371,0.671049208,0.207469538,0.697128207,0.290812269,0.338308096,0.421266645,0.290239424
114,PRE,6,1,0,0.051202798,-0.202630967,0.022432063,-0.043374518,0.204004988,0.102926962,0.002415441,0.136080804
116,PRE,12,1,0,0.234995417,0.4413362,0.082890261,0.468945563,0.40669018,0.689101398,0.337460265,0.766462297
117,PRE,9,1,0,-0.132188224,0.217209399,-0.14654015,0.313603908,0.100034181,-0.03256968,-0.142693594,-0.127422216
118,PRE,9,1,0,-0.095937165,0.313082144,-0.016628983,0.108515989,0.334904209,0.610503972,-0.136254631,-0.081584797
120,PRE,9,1,0,-0.052869478,-0.121977602,-0.033172846,-0.021165288,-0.079341151,-0.08955989,-0.194210882,-0.100345191
121,PRE,12,1,0,0.428524151,0.687297494,-0.077349764,0.456591167,0.319309429,0.28509295,0.087006427,-0.04492873
122,PRE,9,1,0,0.090886636,-0.088013787,0.013027322,-0.064873808,-0.141183041,-0.208959487,0.352388829,0.05358211
123,PRE,6,1,0,-0.1172609,0.10671109,0.419743568,0.658840448,0.131111104,1.223202706,0.248884738,0.646421671
124,PRE,6,1,0,-0.02785477,0.224432536,-0.131097846,0.165437513,0.112447985,0.170911044,-0.017369288,0.075227999
125,PRE,12,1,0,-0.005136531,0.14198909,0.32464397,0.214165207,0.177494418,0.571721375,0.031526428,0.640485675
126,PRE,9,1,0,0.051953117,0.074828166,-0.014816299,0.261266336,-0.214986198,0.727417976,0.15497943,0.620259807
127,PRE,6,1,0,0.005296327,0.121020813,-0.016817669,0.326959118,-0.009232453,0.235518068,0.297649771,0.432616577
128,PRE,6,1,0,0.079744086,0.173577204,0.08352433,0.323587909,0.09368882,0.080669385,0.095301501,0.062052025
129,PRE,12,1,0,0.175326935,-0.120040097,0.253643521,-0.228623837,0.02087327,0.717787236,-0.016205089,0.796103776
133,PRE,12,1,0,-0.101669186,0.509878442,0.379557088,0.350828097,0.150629711,0.453508422,0.379486904,0.174545274
134,PRE,6,1,0,0.098054631,0.670398444,0.017459635,0.333894327,0.036982656,0.779008865,-0.223770693,0.45573771
135,PRE,6,1,0,0.100201529,-0.008164801,-0.05447435,0.103843516,0.213813376,0.282200113,0.301846344,0.363295585
136,PRE,9,1,0,0.210790411,-0.0060132,-0.04765435,0.399230898,0.049978413,0.861572772,0.206755843,1.002383679
137,PRE,9,1,0,-0.089124347,0.122663211,-0.129723333,0.105625293,-0.206267514,0.020057144,-0.229490974,0.2582708
138,PRE,9,1,0,0.089315615,0.476384267,0.051857876,0.489059001,0.411731899,-0.066455279,-0.12437249,-0.07989719
139,PRE,9,1,0,0.374239192,0.942108393,0.346967705,0.81145218,0.577547253,0.277629242,0.589530558,0.229649805
140,PRE,6,1,0,0.12925046,-0.110610154,-0.075030853,-0.122199253,-0.027679109,-0.246333927,-0.050598162,0.06074797
141,PRE,6,1,0,-0.030088466,0.152399887,0.028276371,0.266962499,0.296253287,1.187267125,0.129533154,0.787240535
142,PRE,9,1,0,-0.005921204,-0.029756667,0.089763453,0.526598111,-0.031327496,0.419570327,0.204572432,0.473909214
143,PRE,9,1,0,0.035849644,-0.065181459,0.01139413,0.138303642,0.300328419,0.096114949,0.576466918,0.09519501
144,PRE,6,1,0,0.02512043,0.111768771,0.212250195,0.144537051,0.089922804,0.27625116,0.406219483,0.416911722
145,PRE,6,1,0,-0.268465802,-0.114477418,0.049184005,-0.141187724,-0.2324735,-0.602526784,0.122760735,-0.016874753
146,PRE,6,1,0,0.159192443,0.753730536,-0.090692587,0.941712559,0.30081518,0.417311501,0.111681964,0.248256188
147,PRE,12,1,0,0.164873086,0.388603747,0.125446532,0.580153644,0.331000567,0.07625404,0.250594027,0.485011548
148,PRE,12,1,0,-0.049558638,0.219551199,0.257413589,0.551284075,-0.293793172,0.337015227,0.101504136,0.64927283
150,PRE,6,1,0,-0.093005602,0.262958452,0.233342985,0.074131839,-0.15886312,0.837691874,0.210821495,0.991175383
152,PRE,9,1,0,0.320526779,-0.02466768,-0.03190663,0.029474162,-0.083523947,0.6843808,-0.02637446,0.732932359
153,PRE,6,1,0,-0.123640184,-0.046651464,-0.023775945,0.059367884,0.145244599,-0.025286468,-0.027973607,-0.068720322
156,PRE,6,2,0,0.188372053,0.144346908,-0.110992443,0.117009819,-0.053226785,-0.201159239,0.041774908,0.009951495
157,PRE,12,2,0,0.090057508,0.342625573,0.315211952,0.462525249,0.032994088,0.452902541,0.116577974,0.461198285
158,PRE,12,2,0,0.310357526,0.372401998,0.142125227,0.178498924,0.095587917,-0.10289456,-0.05915067,0.046452381
159,PRE,12,2,0,0.393737145,1.16127187,0.951747656,0.925652027,0.295419105,0.604133547,0.280514703,0.51426819
160,PRE,6,2,0,-0.057581009,-0.183991705,-0.151580876,0.035468232,0.000944654,0.008611285,0.105130255,-0.010532321
161,PRE,6,2,0,0.031393399,-0.04915443,0.291908622,0.058274456,0.074154713,-0.210935921,0.115294975,-0.05653696
162,PRE,6,2,0,0.116715812,0.182756588,0.693337024,0.18577531,-0.061363653,0.129850512,0.170649964,0.128876027
163,PRE,6,2,0,-0.056299623,0.042757545,0.132315763,0.11197022,0.096261486,-0.04609584,0.110977106,-0.073201048
164,PRE,6,2,0,0.37872237,0.488342613,0.055723795,0.287321896,-0.128214397,-0.046476483,0.234981179,0.054783898
167,PRE,12,2,0,0.133907855,0.512217105,0.247614712,0.376906828,0.044607004,0.14059911,-0.041795016,0.108343523
168,PRE,9,1,0,0.202114985,0.598313392,-0.023314118,0.358613,-0.084122956,0.360722572,-0.044774734,0.074708723
171,PRE,9,2,0,0.183473923,0.634015799,0.416456625,0.486569494,0.023354462,-0.060504146,0.097375505,-0.112017432
174,PRE,12,2,0,0.144226157,0.689070702,0.218804643,0.102345195,0.108319003,0.250979472,-0.308235452,0.590842784
175,PRE,6,2,0,0.104035247,0.21472171,-0.097028967,-0.140296164,-0.082922356,0.228040481,-0.02288855,0.178050168
177,PRE,6,2,0,0.163838137,0.344490633,0.088312022,0.16706191,0.287558466,0.323581532,0.002559764,0.093351081
178,PRE,9,2,0,-0.032903247,-0.10630443,-0.059942801,0.037236206,0.11099628,0.161037803,-0.233137504,0.142284885
179,PRE,9,2,0,0.128567089,0.285622746,0.141844556,0.313256875,-0.104064703,-0.042734562,-0.068103645,-0.020292772
180,PRE,6,2,0,0.25938885,0.50537844,-0.069586173,0.172463537,0.070439905,0.101171453,0.028356169,0.04387598
181,PRE,6,2,0,0.166847088,0.198243185,0.179062337,0.15645776,0.008894444,0.238950555,0.122066275,-0.016919785
182,PRE,9,2,0,0.408617184,0.105386444,0.022291569,0.138140273,0.176549718,0.026200548,0.066356845,0.031306632
183,PRE,9,2,0,0.006903812,-0.012946827,0.034009219,-0.227567107,-0.072564066,0.083015723,-0.030539785,-0.113037602
184,PRE,9,2,0,0.170897052,0.160464399,-0.141862031,0.557524637,0.101046167,0.609461844,0.383682847,0.687878728
185,PRE,9,2,0,-0.038569735,-0.110536553,-0.174876902,-0.130216114,-0.031769002,0.106055357,-0.010585265,0.065939334
186,PRE,6,2,0,0.060089413,-0.253481426,-0.113312442,0.356681601,0.108297169,-0.104606875,-0.004945532,0.162559431
187,PRE,9,2,0,-0.144112446,-0.125918463,0.087609332,0.002660718,-0.064177513,-0.058630511,-0.051602026,-0.119501356
189,PRE,9,2,0,-0.060553151,0.193082538,-0.297484503,0.168961652,-0.164204899,0.906813592,-0.099599839,0.903541297
301,PRE,Adult,1,1,-0.010387224,-0.048321886,0.408851937,0.1577016,0.817922801,0.950010359,0.335316189,1.007866204
302,PRE,Adult,1,1,0.048279079,0.133431145,0.068141757,0.151073054,0.545667828,1.079526633,1.037422508,1.326321126
303,PRE,Adult,1,1,0.094795101,0.062731652,0.174960792,0.128669266,0.090647124,0.061448868,0.441878036,0.502572939
304,PRE,Adult,1,1,0.240412399,0.194844276,0.301235765,0.16604732,0.229936801,0.81829229,0.544217527,1.031704069
305,PRE,Adult,1,1,0.114125275,0.04361715,0.113661968,0.047323021,0.314311825,0.095396206,0.027308975,0.137050964
306,PRE,Adult,1,1,0.09282719,0.18038933,0.332181767,0.200657688,0.513131753,0.964643032,0.682464093,1.121597231
307,PRE,Adult,1,1,0.142644089,0.205823757,0.2758497,0.293325752,0.338456527,0.528120011,0.250095092,0.485450968
308,PRE,Adult,1,1,-0.012855027,0.11938056,-0.015183573,0.072752848,-0.065412674,-0.008573462,0.01633893,-0.080723237
309,PRE,Adult,1,1,0.209718712,0.420531735,0.153489314,0.41525425,0.147913419,0.559057415,0.457033798,0.797946602
311,PRE,Adult,1,1,0.164245286,0.342347399,0.121731729,0.142254964,0.141824194,0.513804197,0.048207022,0.094048452
312,PRE,Adult,1,1,0.219205708,0.244527184,0.323367253,0.422220618,0.646150559,0.681941241,0.237975449,0.544102878
313,PRE,Adult,1,1,0.695581079,0.384959519,0.5109732,0.291901872,0.690719277,1.030566335,0.926330895,1.219877839
314,PRE,Adult,1,1,0.072309686,0.129408669,0.146628,0.061312916,0.060100923,0.21182207,0.125879378,0.35258317
316,PRE,Adult,1,1,0.123041011,0.045436259,0.01509033,-0.027242555,1.004876346,0.58033365,0.110103667,0.519394904
318,PRE,Adult,1,1,0.182016261,0.035452255,0.51753816,0.146784336,0.101435302,0.125469074,0.923618615,0.367206768
320,PRE,Adult,1,1,0.205194014,0.172028348,0.21935042,0.197451651,0.241786638,0.16380775,0.442460187,0.228375457
321,PRE,Adult,1,1,0.031819485,0.100288494,0.376323566,0.244236417,0.543530926,0.71852088,0.756637097,0.830670834
322,PRE,Adult,1,1,-0.015745877,-0.035707659,-0.014963347,-0.02834421,-0.001300485,-0.000848245,-0.006765122,0.006604546
323,PRE,Adult,1,1,-0.040242344,0.057204584,0.22737097,0.060495317,0.063122481,0.106662234,0.281726271,0.068576478
324,PRE,Adult,1,1,0.03677205,0.008704146,0.113738354,-0.010095739,0.059732698,-0.043311676,0.215065308,-0.033214944
325,PRE,Adult,1,1,0.044112146,0.030899305,-0.00102322,0.022750359,-0.032032985,-0.00810888,0.031134411,0.011006407
326,PRE,Adult,1,1,0.213294253,-0.075279381,0.342946887,-0.027272801,0.564017683,0.726198048,0.295403767,0.660781458
327,PRE,Adult,2,1,0.356919766,0.053068518,0.072543511,0.061071111,0.27176556,0.378162221,0.388737701,0.447726339
328,PRE,Adult,2,1,0.060663933,0.108415153,0.157041408,0.108129396,0.293125034,0.437235609,0.350110844,0.402822822
329,PRE,Adult,2,1,0.076659141,0.168726683,0.148427591,0.28121455,0.113255628,0.168232829,0.365213261,0.407117158
330,PRE,Adult,2,1,0.040191056,0.070867982,0.247348071,0.049365953,0.213103615,0.31772241,0.077427522,1.155979574
331,PRE,Adult,2,1,0.053969637,0.163308322,0.121009283,0.013845101,0.160146549,0.183103293,0.065531426,0.171512567
332,PRE,Adult,2,1,0.029926732,-0.005177776,0.005330646,-0.015524085,0.070938651,0.094721623,0.028102401,0.116384067
333,PRE,Adult,2,1,0.016300067,-0.00850336,0.134721883,0.049559853,0.05804538,0.089375017,0.03900417,0.076745503
334,PRE,Adult,2,1,0.101235766,0.230091416,0.030979016,0.094673129,0.024539123,0.017080126,-0.01517431,-0.021771764
335,PRE,Adult,2,1,0.255540505,0.364858434,0.345175952,0.349463359,0.349584252,0.399290681,0.568980575,0.431996018
336,PRE,Adult,2,1,0.261164859,0.162199222,0.153907694,0.041463653,0.26175499,0.971358031,0.505684719,0.9831568
337,PRE,Adult,2,1,0.040009036,0.093937442,0.081981689,0.174116575,-0.008480424,0.182842076,0.24262663,0.322812662
338,PRE,Adult,2,1,0.361897841,0.184823305,0.306920708,0.146254122,0.614283681,0.767238856,0.420890957,0.701701433
339,PRE,Adult,2,1,0.22151731,0.161281575,0.244467989,0.127098956,0.3378236,0.605899632,0.326001823,0.653108418
340,PRE,Adult,2,1,0.150598601,0.156753775,0.426281154,0.314979367,0.032919475,0.166403205,0.005035742,0.016307449
341,PRE,Adult,2,1,0.159742303,0.058247064,0.62218228,0.307261959,0.501859889,0.75715068,0.42358248,0.740028992
342,PRE,Adult,2,1,0.067169927,0.120972909,0.313522712,0.0427904,0.150766667,0.350227356,0.098937445,0.297797218
343,PRE,Adult,2,1,0.24785316,0.552480832,0.371011779,0.354018286,0.376634762,0.407871113,0.428586737,0.397959732
344,PRE,Adult,2,1,0.417078376,0.335752979,0.484107912,0.429256842,0.751890302,0.810009957,0.653259248,0.84722817
345,PRE,Adult,2,1,0.708440662,0.450733796,0.332428523,0.402324393,1.06966585,1.222201586,0.447049692,1.074576199
346,PRE,Adult,2,1,0.008064306,0.02744082,0.033402637,0.034084236,0.328284264,0.422659963,0.445319489,0.5701935
347,PRE,Adult,2,1,0.044324564,-0.037814739,0.647245706,0.074489462,0.248834849,0.69863993,0.668961764,0.811250836
348,PRE,Adult,2,1,0.070590936,0.082607776,0.161893569,0.091943428,0.265303553,0.317672178,0.078802081,0.242240779
349,PRE,Adult,2,1,0.186191008,0.238078855,0.162235223,0.213112436,0.239302702,0.275259152,0.220482625,0.269229636
350,PRE,Adult,2,1,0.221462566,0.267592542,0.267118108,0.032999177,0.98362723,2.006839931,0.982405573,1.931579948
351,PRE,Adult,2,1,0.097353135,0.20503255,0.329384983,0.198798337,0.167033264,0.405338929,0.561553925,0.425074071
